urls,programname,programstatus,programshortdesc,programsummary,programhosts,programtopics,programgenres
http://kboo.fm/program/autonomy-hour,Autonomy Hour,Current,Eclectic/Global,"Every first and third Thursday from 10:00 PM to 12:00 AM.
","[""Kathy F""]",[],"[""Eclectic"", ""World - Ethnic"", ""Jazz"", ""Folk"", ""Rock and Roll""]"
http://kboo.fm/program/back-egg,Back To The Egg,Current,New Wave hits of The Aughties,"Every first and third Sunday from 12:00 AM to 3:00 AM.
New Wave hits of The Aughties, Saturday nights* from midnight to 3am here on KBOO.
Follow Back To The Egg on twitter for playlist and other pertinent info: http://twitter.com/backtotheeegg
*okay okay, i'm one minute east of saturday night. it's technically sunday mornings.
","[""Crackity Jones""]",[],"[""Eclectic"", ""Electronic"", ""Experimental"", ""Rock and Roll""]"
http://kboo.fm/program/beloved-community,Beloved Community,Current,Resources for Activism,"In his 1959 Sermon on Gandhi, Dr. King said:

“The aftermath of nonviolence is the creation of the beloved community, so that when the battle’s over, a new relationship comes into being between the oppressed and the oppressor….The way of violence leads to bitterness in the survivors and brutality in the destroyers. But, the way of non-violence leads to redemption and the creation of the beloved community.”

On “The Beloved Community” we address the philosophical and spiritual foundations for non-violence, activism, political engagement and peace building. We also hear voices of those who are building the beloved community right here in Portland. The goal is to gain inspiration, solidarity, wisdom, and insight for your own activism. 

Every 2nd Friday from 9:00 am - 10:00 am
","[""John Shuck""]","[""Civil Rights/Human Rights"", ""Faith/Religion/Spirituality"", ""Activism"", ""Community Building""]",[]
http://kboo.fm/program/between-covers,Between the Covers,Current,Features interviews with locally and nationally known authors of both fiction and non-fiction.,"Every third and fifth Thursday from 11:00 AM to 12:00 PM, and every first, second and fourth Thursday from 11:00 AM to 11:30 AM.
A weekly show featuring interviews with locally and nationally known authors of both fiction and non-fiction.
","[""Kathleen Stephenson"", ""David Naimon"", ""Suzanne LaGrande"", ""Jennifer Kemp"", ""Leigh Anne Kranz"", ""Ken Jones"", ""David Koesters"", ""Bethany Grabow""]","[""History"", ""Fiction"", ""Poetry"", ""Arts/Culture"", ""Humor""]",[]
http://kboo.fm/program/black-book-talk,Black Book Talk,Current,Monthly program featuring interviews and discussions of works by African American authors.,"Every first Thursday from 11:30 AM to 12:00 PM.
Monthly program featuring interviews and discussions of works by African American authors. Co-hosts Emma Jackson Ford, O B Hill and Patricia Welch review works in all genres by well-known and emerging authors. Occasional call-in shows allow audience members to talk directly to authors and/or share their opinions on works by Black authors.
","[""Patricia Welch"", ""Emma Jackson Ford"", ""O.B. Hill""]","[""African American"", ""Race"", ""History"", ""Humor"", ""Education"", ""Fiction"", ""Arts/Culture"", ""Activism""]",[]
http://kboo.fm/program/blues-junction,Blues Junction,Current,Urban and some country blues and then some.   ,"Every Saturday from 5:00 PM to 7:00 PM.
Urban and country blues with R&B, soul, jazz, zydeco and classic rock.     
","[""Tom Wendt""]",[],"[""Blues"", ""Bluegrass"", ""Country"", ""Eclectic"", ""Experimental"", ""Folk"", ""Jazz"", ""Rock and Roll"", ""Soul""]"
http://kboo.fm/program/bread-and-roses,Bread and Roses,Current,A collective of women offering quality feminist public affairs programming,"Every Friday from 6:00 PM to 7:00 PM.
Bread and Roses is a collective of women identified radio activists. We offer feminist public affairs programming. We give voice to those working for social justice and equity, globally and locally. We strive to challenge systems of oppression. All this, and we have fun!
	Bread and Roses highlights the achievements of women artists, activists, athletes, scholars and innovators. We strive for programming excellence and collaborative efforts, providing access and training to women.
","[""AbeniZ"", ""Adrienne"", ""Brooke Kavanagh"", ""Delphine Criscenzo"", ""jcolemon"", ""Kris DeMaria"", ""Mary Postlethwaite"", ""nxn"", ""Pamela Santos"", ""Tessa Dudley""]","[""Gender"", ""Women"", ""Youth"", ""Class"", ""Civil Rights/Human Rights"", ""Community Building"", ""Activism""]",[]
http://kboo.fm/program/buscando-america,Buscando America,Current,Hispanic public affairs and music / Temas de actualidad y música hispana ,"Every Tuesday from 12:00 PM to 1:30 PM.
Buscando America is a program aimed at educating and promoting action for  social   change through art, music, political and cultural debates and interviews, information on current events and opportunities in education, an space for activism and opinions in the diverse communities of Portland and vicinity.
Buscando America offers an alternative to the mainstream media informing the Hispanic audience of the growing educational, political, social and cultural opportunities in this city, offering a space for all the community groups to reach their voices, their work and share with the rest of the Hispanic people. At the same time, the program  wants to bring the influences and cultural diversity af all of the Spanish speaking countries to a multicultural and growing community that is in seach of an independent space to express their identities and needs.
 Buscando America reflects the multiple realities of the countries of Latin America, the United States and Spain and expose the audience to the rich Hispanic heritage while showing all the controversial and often critical situations live in our Americas.
Buscando América es un programa cuyo objetivo es promover la acción para el cambio social a través de las artes, la música, entrevistas y debates políticos y culturales, con información sobre eventos de actualidad y oportunidades para la educación, un espacio para el activismo y las opiniones en las comunidades diversas de Portland y alrededores.
 
","[""Tania Gomezdaza""]","[""Latin@/Hispanic"", ""Civil Rights/Human Rights"", ""Race"", ""Class"", ""Education"", ""Community Building"", ""Government/Politics"", ""Legislation"", ""Immigration"", ""Faith/Religion/Spirituality"", ""History"", ""Music"", ""Global Affairs"", ""Activism""]",[]
http://kboo.fm/program/caravan-glam,Caravan of Glam,Current,"","Every 4th Tuesday from 6:00 pm - 7:00 pm
",[],"[""LGBTQ""]",[]
http://kboo.fm/program/cascadia-coffeehouse,Cascadia Coffeehouse,Current,"New and vintage folk, roots, and Americana music.","Featuring a variety of folk, roots and Americana music, with a focus on new releases and vintage favorites.  Join us every second and fourth Friday morning from 5:30 AM to 7:00 AM (usually alternating weekly with the Lark In The Morning show).  Follow us on Twitter @cascadiakboo
","[""Dan Shramek""]",[],[]
http://kboo.fm/program/changeable-bulbs,Changeable Bulbs,Current,Eclectedelic Funky Music & Collage," 

Every second and fourth Thursday from 12:00 AM to 3:00 AM.

Homemade Cassette Mixtapes, Beats, Live Sound Collage, New & Old music, Warming Vibes.
","[""ChangeableBulbs""]",[],"[""Electronic"", ""Eclectic"", ""Experimental""]"
http://kboo.fm/program/city-women,City of Women,Current,"Music voiced by those who identify as women with sonic, atomic sounds from cities everywhere.","Every first and third Friday from 3:00 AM to 5:30 AM.

Music voiced by those who identify as women with sonic, atomic sounds from cities everywhere. A special focus will be made on local bands,urban, electronica and noise.
","[""Kristin Y""]",[],"[""Arts and Culture"", ""Eclectic"", ""Electronic"", ""Punk""]"
http://kboo.fm/program/counterspin,Counterspin,Current,"","Every 1st, 2nd, 3rd and 5th Friday from 5:30 pm - 6:00 pm

Counter-propaganda show produced by the media watchgroup FAIR.
",[],"[""Civil Liberties"", ""Corporations"", ""Media""]",[]
http://kboo.fm/program/democracy-motion,Democracy in Motion,Current,"Interviews with local, state and federal elected officials about their work.","Second Friday of every month from 9:00 AM to 10:00 AM.
","[""Lisa Loving""]","[""Government/Politics"", ""Legislation"", ""Law/Court/Crime"", ""Activism""]",[]
http://kboo.fm/program/democracy-now,Democracy Now!,Current,News magazine hosted by award-winning journalists Amy Goodman and Juan Gonzalez.,"Every weekday from 7:00 AM to 8:00 AM and
4:00 PM to 5:00 PM.
The program is hosted by award-winning journalists Amy Goodman and Juan Gonzalez and produced out of the Downtown Community Television Center, a community media center in New York City’s Chinatown.
Democracy Now!'s War and Peace Report provides our audience with access to people and perspectives rarely heard in the U.S.corporate-sponsored media, including independent and international journalists, ordinary people from around the world who are directly affected by U.S. foreign policy, grassroots leaders and peace activists, artists, academics and independent analysts. In addition, the War and Peace Report hosts real debates - debates between people who substantially disagree, such as between the White House or the Pentagon spokespeople on the one hand, and grassroots activists on the other.
",[],"[""Activism"", ""Civil Liberties"", ""Civil Rights/Human Rights"", ""Global Affairs"", ""War/Peace"", ""Government/Politics"", ""Legislation""]",[]
http://kboo.fm/program/disability-awareness,Disability Awareness,Current,A monthly show about issues affecting people with disabilities and their communities.,"Every fourth Monday from 11:00 AM to 11:30 AM. 

 A monthly show about issues affecting people with disabilities and their communities.
","[""Grace Eagle Reed""]","[""Health"", ""Social Services"", ""Civil Liberties"", ""Civil Rights/Human Rights"", ""Community Building"", ""Disability""]",[]
http://kboo.fm/program/ditch-digger,Ditch Digger,Current,Desperate RPMs For Desperate People,"Every second and fourth Wednesday from 8:00 PM to 10:00 PM.

An eclectic slum of garage, R&B, doo wop, soul, punk...

 

 
","[""Marcel""]",[],"[""Eclectic"", ""Experimental"", ""Blues"", ""Rock and Roll"", ""Soul""]"
http://kboo.fm/program/domingos-para-recordar,Domingos para Recordar,Current,Latin,"Todos los domingos de 17:00 PM hasta que 18:30 PM.
Every Sunday from 5:00 PM to 6:30 PM.
Gracias por escuchar y ya lo saben, a gozar de la vida que recordando es volver a vivir. Las noticias que a veces no se escuchan en otras partes, y en cuanto a economia, les voy a decir como ahorrar un poco de algun modo.
","[""Ramon A Jacob""]","[""Latin@/Hispanic"", ""Class"", ""Civil Rights/Human Rights"", ""Economy"", ""Government/Politics""]",[]
http://kboo.fm/program/dr-zombs-stereo-obscura,Dr. Zomb's Stereo Obscura,Current,Offbeat Sounds for talented listeners,"Every second and fourth Thursday from 10:00 PM to 12:00 AM. Alternates weeks with Life During Wartime.
Offbeat sounds for talented listeners
","[""Dr. Zomb""]",[],"[""Eclectic"", ""Experimental"", ""Rock and Roll""]"
http://kboo.fm/program/drinking-puddles,Drinking from Puddles,Current,Music,"Every other Wednesday from 8:00pm to 10:00pm. Alternates weekly with Ditch Digger. 
",[],[],"[""World - Ethnic"", ""Eclectic"", ""Experimental"", ""Blues"", ""Rock and Roll"", ""Punk"", ""Soul"", ""Bluegrass"", ""Latino/a""]"
http://kboo.fm/program/ear-streets-portland,Ear to the Streets of Portland,Current,Conversations around organizing in the Black/African community in Portland and surrounding areas,"Every first and third Thursday from 7:00 PM to 10:00 PM.

Tune-in to ‘Ear To The Streets of Portland’. This program will have conversations around organizing in the Black/African community in Portland and surrounding areas in Oregon, and music of all genres in free-form. The goal with 'Ear To The Streets of Portland' is to create thoughts around organizing and bring people together for understanding ideas for proactive approach to for and about Black Portlanders. Tune-in every 1st and 3rd Thursday of every month...starting at 7:00pm. Follow 'Ear To The Streets of Portland' on Twitter!
Email: onthegroundkboo@gmail.com
Twitter: https://twitter.com/AzikiweTweets
","[""wrights""]","[""Activism"", ""African American"", ""Arts/Culture"", ""Civil Rights/Human Rights"", ""Community Building""]","[""Eclectic""]"
http://kboo.fm/program/early-morning-gumbo,Early Morning Gumbo,Current,A spicy mix of folk and acoustic music,"Every Tuesday from 5:30 AM to 7:00 AM.
A spicy mix of folk and acoustic music, much of which is connected to the American south, including (but not limited to) acoustic blues, Texas folk, Cajun, string band & Texas swing
","[""Diane Karl""]",[],"[""Folk"", ""Country"", ""Blues"", ""Bluegrass"", ""Eclectic""]"
http://kboo.fm/program/evening-news,Evening News,Current,"Non-corporate, volunteer-powered, local, national, and international news ","Every Monday through Thursday from 5:00 PM to 5:45 PM, and Friday 5:00 PM to 5:30 PM.

It's the non-corporate, volunteer-powered news you won't hear on commercial media. Call 503-231-8032 x203 or e-mail: newsdirector [at] kboo.org to learn how you can help report, produce, anchor, write and edit news at KBOO.


 Click here to find out more about getting involved in the Evening News team.
","[""KBOO News Team""]","[""Media"", ""Government/Politics"", ""Global Affairs"", ""Civil Rights/Human Rights"", ""Activism""]",[]
http://kboo.fm/program/fa-radio,FA Radio,Current,Contemporary music (in Spanish).,"Every Tuesday from 1:30 PM to 2:30 PM. 
",[],[],"[""Latino/a"", ""Eclectic""]"
http://kboo.fm/program/fight-empire,Fight the Empire,Current,Connecting history with the latest world events,"Every first and third Thursday from 9:30 AM to 10:00 AM. 

We live in an empire that began 500 years ago with the European conquest of the Americas. This program looks at how the empire permeates our lives.

 

What are we doing in the world? What are we doing to the world?

George Kennan was an influential US diplomat during the Cold War years. It was he who devised the containment strategy against the Soviet Union (as opposed to a more aggressive rollback policy). In February 1948 Kennan presented a document to President Truman, Presidential Policy Statement #23, which includes the following:

""The US has  50 percent of the world's wealth, but only 6.3 percent of its population. Our real task in the coming period is to devise a pattern of relationships which permits us to maintain this position of disparity...To do so we will have to dispense with all sentimentality and day-dreaming, and our attention will have to be concentrated everywhere on our immediate national objectives.

""We should cease to talk about vague and unreal objectives such as human rights, the raising of living standards, and democratization. The day is not far off when we are going to have to deal in straight power concepts. The less we are hampered by idealistic slogans the better.""

Some have claimed that Kennan was speaking as a foreign policy ""realist,"" and arguing against an ideological anti-Communist crusade. That may be so, but his words are clear, as Noam Chomsky has pointed out. The US intends to keep for itself an unfair share of the world's resources. The main difference between the realists and the ideologues is one of tactics in pursuing this ignoble goal.

 

 

 

 
","[""Per Fagereng""]","[""Class"", ""Economy"", ""Civil Liberties"", ""Education"", ""History""]",[]
http://kboo.fm/program/flashpoints,Flashpoints,Current,INVESTIGATIVE News Radio with host Dennis Bernstein ,"Every Tuesday through Friday 10:15am to 11:00am. 



Investigative News Radio with host Dennis Bernstein from KPFA, community radio in Berkeley, California. Flashpoints is an award-winning daily investigative newsmagazine. Through original reports and some of the key investigative reporters of our time, Flashpoints goes to the frontlines and to the core of the stories in the areas of government and corporate criminality, human rights, and economic justice. From Baghdad to the US-Mexico border, Palestine to San Francisco, Port-au-Prince to Washington DC, Flashpoints monitors the centers of power as an uncensored platform of independent media.
",[],"[""Civil Rights/Human Rights"", ""Government/Politics"", ""Class"", ""Corporations"", ""Global Affairs""]",[]
http://kboo.fm/program/folk-espresso,Folk Espresso,Current,Early morning folk music to get your week started. A different host each week.,"Every Monday from 5:30am to 7:00am. 

Folk Espresso, early morning folk music to get your week started. A different host each week.
","[""Diane Hunt"", ""Gordon Euler"", ""Jonathan Lay""]",[],"[""Folk"", ""Eclectic""]"
http://kboo.fm/program/food-show,Food Show,Current,Do you eat?  Then you'll love the KBOO Food Show.,"

 

Do you eat? Then you'll love the KBOO Food Show.

Airs on the 3rd Wednesday of every month at 11 AM.
","[""chris.seigel""]","[""Food"", ""Education"", ""Arts/Culture"", ""Health""]",[]
http://kboo.fm/freeculture,Free Culture Radio,Current,Drugs in society and society on drugs,"Third Wednesday of each month from 6:30 pm to 7:00 pm

Free Culture Radio is an examination of drugs, drug cultures, and the ineluctable, indelible, and indispensable influence of drugs on society. Free Culture Radio neither promotes the use of any drugs, nor condemns people for being involved in drugs. To the extent that drug use presents problems for individuals or society, those problems are made worse and more intractable when drug users are treated as “others” and ignored, stigmatized, and even brutalized.

Give the Free Culture Radio Facebook page a like!
","[""Doug McVay""]","[""Drugs"", ""Law/Court/Crime""]",[]
http://kboo.fm/program/grateful-dead-friends,Grateful Dead & Friends,Current,Good 'ol Grateful Dead,"
 

'Like' us on Facebook

Every Saturday 12:00pm to 2:00pm.Host by week of the month: 1 - Matt (Rolling Thunder Review)  2 - Sun  3 - Andrew (Unbroken Chain)  4 - Phil G. (Forests of Fennario)   5 -   Kassiani 

Email us

             {Archive.org - Grateful Dead : Phil Lesh & Friends : Furthur}  |  eTree  | Setlists  |  DeadLists  |  Jerry Garcia.com | Annotated Grateful Dead Lyrics  |  SugarMegs  |  Grateful Dead Archive Online  |  The Dead Blog Daily   |  Lost Live Dead  |  GD Song Finder & Lyrics Quiz   |  This Old Engine  |  Dark Star Orchestra  |  GD Covering Black Artists (audio)  |  Jerry Covers Project (audio)  |  'Fare Thee Well' reimagined (audio)

Portland GD cover bands - Garcia Birthday Band  |  Cats Under the Stars  |  Northbound Rain  |  Grateful Buds}


 
","[""kboomatt"", ""Sun Lee"", ""Andrew Geller"", ""Phil G"", ""Kassiani""]",[],"[""Country"", ""Electronic"", ""Jazz"", ""Live Performance"", ""Eclectic"", ""Experimental"", ""Blues"", ""Rock and Roll""]"
http://kboo.fm/program/gremlin-time,Gremlin Time,Current,Radio Theater,"If you're looking to hear a good story, tune in Gremlin Time.  The bedtime radio show for grown-ups, broadcasts on the 3rd Monday of every month.  Sad stories that make deep people happy. Tales of action & mystery to challenge the intellectal. Funny stories for the serious minded.  And accounts of  terror & romance for the too comfortable.

 A full hour on the 3rd Monday of every month as part of KBOO's 11PM Monday Radio Theatre Block.
","[""Matthew Clark""]",[],"[""Experimental"", ""Radio Theatre"", ""Arts and Culture""]"
http://kboo.fm/program/guess-whos-coming-radio,guess who's coming to radio??!!,Current,Radio as a liberatory tool...,"Every 2nd and 4th Thursday from 8:00pm to 10:00pm.
This is a show with a goal to address the sociopolitical issues relative to African people and our experiences, in ways that promote positivity, awareness, and pro-activity.  We (who host the show) are currently located in the U.S.; however, wherever we are on the globe we are all connected, and none of us will be free until Africa is free!
The discussions will be combined with positive and political music of various genres (jazz, funk, rock, soul...  and much more), as composed and performed by a long line of descendants- ancestors and present folks. We love to play music which advocates for a higher consciousness- spiritual, political, etc.. We aim to air alternatives to the individualism, materialism and single-issue solutions we are conditioned to advocate for.  We feature book highlights, guests who contribute to pro-activity in their respective communities and an opportunity for the listening community to become involved in conversations, by calling in. We are but one way to honor the liberatory process- we cannot do it alone! 
","[""Jamilah Bourdon""]","[""African American"", ""Civil Rights/Human Rights"", ""Activism"", ""Community Building"", ""Arts/Culture""]","[""Eclectic"", ""Jazz"", ""Rock and Roll"", ""Rap - Hip Hop"", ""Soul""]"
http://kboo.fm/program/hard-knock-radio,Hard Knock Radio,Current,Daily Hip Hop Talk Show,"

Every Weekday, 7:00pm to 8:00pm. 

We feature in-depth interviews and profiles with elected officials, community leaders, activists, Hip Hop artists and musicians. We give voice to community concerns and offer a unique forum to explore issues relevant to the hiphop/urban community. We've covered a variety of subjects like; Hip Hop Appreciation Week, The War on Terrorism,The Prison Industrial Complex, Asian/ Pacific Islander Heritage Month, Domestic Violence, Teen Pregnacy and the Middle East Crisis to name a few.

Some of our recent guests have been; KRS-One, Russell Simmons, Saul Williams, Sarah Jones, Yuri Kochiyama, Al Sharpton, Mystic, Cornel West, Ben Harper, Tavis Smiley, Sista Souljah, Blackalicious, Congresswoman Barbara Lee, Dilated Peoples, Kool Moe Dee, Afrika Bambaataa, The Coup, Congresswoman Cynthia McKinney, Paris, Chuck D and Reverend Jesse Jackson to name a few.

Recently Hard Knock Radio was voted as the Best Radio Show in the SF Bay Area by the East Bay Express newspaper. We invite you to join us everyday when we hit the airwaves as we try to offer something new and exciting.
","[""Anita Johnson"", ""Davey D"", ""Tsadae Abeba Neway"", ""Weyland Southon"", ""quincyhoist""]","[""African American"", ""Media"", ""Music"", ""Activism"", ""Community Building"", ""Race"", ""Government/Politics""]","[""Rap - Hip Hop"", ""Electronic"", ""Spoken Arts"", ""Experimental""]"
http://kboo.fm/program/healthwatch,Healthwatch,Current,Health,"Every 1st and 2nd Monday from 11:00am to 11:30amr/
Information to make you healthier.
You can subscribe to the Healthwatch podcast at---> http://tinyurl.com/drnaimon
And download audio for shows at:

		 www.drnaimon.com/healthwatch or

		for Ellen Goldsmith's shows on every second Monday: http://pearlnaturalhealth.com/podcast-and-blog/
 
 
 
","[""David Naimon"", ""Ellen Goldsmith""]","[""Health"", ""Science/Technology""]",[]
http://kboo.fm/program/heavy-metal-vomit-party,Heavy Metal Vomit Party,Current,JUST RIFFS,"Airs Fridays 12:00am (midnight) to 3:00am . Alternates weekly with Pandæmonium.

Heavy Metal Vomit Party is an attempt to provide an overview of heavy metal and its sub-genres, from its roots in hard rock from the late 60s to the more extreme modern style. Enough obscurities and detours to keep it interesting, but plenty of heavy riffs to keep you satisfied. Airs every other week after Life During Wartime.
","[""Thrash Mike"", ""dj baritus""]",[],"[""Experimental"", ""Rock and Roll""]"
http://kboo.fm/program/higher-reasoning-reggae-time,Higher Reasoning Reggae Time,Current,Contemporary Roots Reggae from International sources,"

this program is livicated to bringing International
Reggae word, sound power to the massive, airingearly
Sunday mornings...  late night Saturdays? tune in!

love and respect ~ bless3-6 am evry Sunday morning,

& whenever there's a 5th Saturday inna month we begin at 12 am...

cannot seem to insert image. scratching head... soon come, yeah July 30 LIVE event...

come Jah Jah people,

lets make a joyful noise and DANCE!



this program is all ways livicated to our brothers and sisters

locked down in the prisons and penitentiaries around di area

Jah bless / Jah Guide
 

listen to archived HRRT episodes at >>> http://mixcloud.com/jahdanny

Facebook page: https://www.facebook.com/RasDannysReggaePage/ 
","[""Ras Danny""]",[],"[""Afro-Caribbean"", ""Folk"", ""Reggae - Caribbean"", ""Rock and Roll"", ""Soul""]"
http://kboo.fm/program/holland-hour,Holland Hour,Current,World,"Sundays 9:00am to 10:00am.
This show alternates weekly with Italian Hour.
","[""charlesd""]",[],"[""Arts and Culture"", ""Folk"", ""Rock and Roll"", ""World - Ethnic""]"
http://kboo.fm/program/hypnophobia,Hypnophobia,Current,Hypnophobia,"2nd and 4th Fridays from 3:00am to 5:30am. Alternates with Artist Rising.

BreAna, John, Adam and Julie along with a rotating cast of visitors bring you this bi-monthly collection of music and debate. Tune in the 2nd and 4th Saturday of the month from 3 to 6am to listen to band demos, themed music sets, and join our rousing discussions. We play a mix of local and global punk, hardcore, noizepunk, metal, instrumental, emo, and anything else our little hearts desire. You can email us with requests, to set up a time for your band to play, or conversation topics at hypnophobiaradio@gmail.com. You can send your band demos to

Hypnophobia Radio C/O BreAna Loranger 20 se 8th Portland OR 97214
","[""BreAna Loranger""]",[],"[""Punk"", ""Rock and Roll"", ""World - Ethnic"", ""Experimental""]"
http://kboo.fm/program/islamic-point-view,Islamic Point of View,Current,Spiritual,"Every Sunday from 8:00am to 8:30am.
Spiritual
","[""Omar Shabacz""]","[""Faith/Religion/Spirituality""]",[]
